city,division,description,link,House No.,Flat No.,Area,Price per month,Number of rooms ,Floor,No. of floors,Build year,Building type,Heating system,energy_class,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop
Vilnius,Šeškinė,"Vilnius, Šeškinė, Čiobiškio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-seskineje-ciobiskio-g-nuomojamas-jaukus-bei-tvarkingas-dvieju-4-1105881/,,,50 m²,450 €,2,3,9,1989,Monolithic,Central,,210 m,220 m,410 m,370 m
Vilnius,Naujoji Vilnia,"Vilnius, Naujoji Vilnia, Dūmų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-dumu-g-galima-su-gyvunais-studio-tipo-butas-4-1105361/,,,18 m²,220 €,1,3,3,1989,Brick,Electric,,800 m,950 m,410 m,80 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Šv. Ignoto g., 4 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-ignoto-g-nuomojamas-prabangus-ir-erdvus-165-kv-m-4-1014343/,5,,165 m²,2 400 €,4,3,4,"1940 construction, 2010 renovation",Brick,Central thermostat,,250 m,180 m,310 m,240 m
Vilnius,Naujininkai,"Vilnius, Naujininkai, Vandentiekio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-vandentiekio-g-isnuomuojamas-2-kambariu-butas-vandentiekio-4-1106087/,,,41 m²,380 €,2,3,4,1960,Brick,Central,,150 m,200 m,230 m,100 m
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Eitminų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-eitminu-g-isnuomojamas-vieno-kambario-butas-su-visais-4-1106103/,20,,34 m²,350 €,1,4,9,2012,Brick,Central thermostat,1 Class Good (1-3),100 m,970 m,220 m,100 m
Vilnius,Užupis,"Vilnius, Užupis, Užupio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-uzupyje-uzupio-g-isnuomojamas-visiskai-irengtas-2-kambariu-4-1106089/,19,28,41 m²,550 €,2,1,4,1940,Brick,Gas,,0 m,340 m,260 m,180 m
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Sėlių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-seliu-g-isnuomojamas-jaukus-40-kvm-2-kambariu-butas-4-216249/,13,,40 m²,599 €,2,4,5,2005,Brick,Electric,,280 m,150 m,380 m,230 m
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Žemynos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-zemynos-g-kitoje-gatves-puseje-iki-parduotuve-4-1105979/,,,64 m²,500 €,3,3,3,1987,Block house,Central,1 Class Good (1-3),160 m,330 m,130 m,380 m
Vilnius,Paupys,"Vilnius, Paupys, Aukštaičių g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-paupyje-aukstaiciu-g-isnuomuojamas-dar-negyventas-ka-tik-irengtas-4-1105649/,19,,"34,39 m²",700 €,1,1,4,2019,Brick,Central thermostat,,620 m,480 m,330 m,90 m
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Gabijos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-gabijos-g-nuomojamas-3-kambariu-butas-gabijos-g-40-4-1106019/,40,,"62,3 m²",550 €,3,7,7,2014,Block house,Central,1 Class Good (1-3),40 m,480 m,110 m,230 m
Vilnius,Salininkai,"Vilnius, Salininkai, 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-salininkuose-isnuomojamas-tvarkingas-3-kambariu-butas-4-1106005/,,,64 m²,450 €,3,2,5,1987,Block house,Central,,230 m,620 m,140 m,70 m
Vilnius,Žemieji Paneriai,"Vilnius, Žemieji Paneriai, Vaduvos g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zemuosiuose-paneriuose-vaduvos-g-ilgalaike-nuoma-nuo-vieneriu-metu-ir-ilgiau-4-1105935/,29,,"36,6 m²",300 €,1,3,5,1985,Block house,Central thermostat,1 Class Good (1-3),"2,1 km",260 m,320 m,340 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Tauro g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-tauro-g-nuomuojamas-2-kambariu-butas-strategiskai-4-1105897/,12,,"47,81 m²",700 €,2,5,5,"1941 construction, 2021 renovation",Brick,Gas,,370 m,320 m,300 m,240 m
,,,,,,,,,,,,,,,,,,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Tauro g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-tauro-g-nuomuojamas-2-kambariu-butas-strategiskai-4-1105897/,12,,"47,81 m²",700 €,2,5,5,"1941 construction, 2021 renovation",Brick,Gas,,370 m,320 m,300 m,240 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Plačioji g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-placioji-g-vilniaus-senamiestyje-placiojoje-gatveje-nuo-4-981037/,4,,56 m²,780 €,3,1,4,2020,Brick,Central thermostat,,220 m,70 m,100 m,120 m
Vilnius,Pilaitė,"Vilnius, Pilaitė, Vydūno g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-vyduno-g-isnuomojamas-2-k-butas-pilaiteje-4-1105867/,7,,"50,46 m²",340 €,2,3,9,1991,Block house,Central,1 Class Good (1-3),150 m,290 m,190 m,120 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, A. Juozapavičiaus g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-a-juozapaviciaus-g-nuo-lapkricio-20-d-isnuomojamas-geras-3-4-947157/,9A,,78 m²,850 €,3,2,9,2008,Brick,Central thermostat,1 Class Good (1-3),280 m,130 m,270 m,280 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Pilies g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pilies-g-jaukus-bei-ramus-kas-yra-reta-pacioje-4-1105827/,17,,60 m²,750 €,3,2,2,"1960 construction, 2010 renovation",Brick,Central,1 Class Good (1-3),630 m,150 m,20 m,210 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Daugėliškio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-daugeliskio-g-nuomojamas-2k-butas-snipiskese-nuomojamas-4-1105815/,,,38 m²,250 €,2,1,1,1985,Wooden house,Solid fuel,,470 m,200 m,560 m,190 m
Vilnius,Santariškės,"Vilnius, Santariškės, J. Franko g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-santariskese-j-franko-g-2006-ais-metais-su-dizaineres-pagalba-4-1083489/,14,,63 m²,600 €,2,2,3,2006,Brick,Central thermostat,1 Class Good (1-3),260 m,660 m,160 m,330 m
Vilnius,Naujininkai,"Vilnius, Naujininkai, Prūsų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-prusu-g-sveiki-isnuomojamas-sviesus-2-kambariu-4-1105801/,12,,"33,3 m²",430 €,2,5,5,1985,Brick,Central,1 Class Good (1-3),260 m,200 m,320 m,160 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Žemaitijos g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zemaitijos-g-jaukus-ir-siltas-vieno-kambario-butas-4-1105799/,8,,30 m²,420 €,1,1,3,1988,Brick,Central,1 Class Good (1-3),70 m,260 m,100 m,140 m
